district,county,subcounty,school_name,ownership,year,gender,s1,s2,s3,s4,s5,s6,subtotal
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2019,Boys,30,35,28,24,0,0,117
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2019,Girls,55,40,12,14,0,0,121
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2019,Boys,135,139,144,77,0,0,495
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2019,Girls,144,126,124,83,0,0,477
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2019,Boys,78,80,65,41,10,13,287
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2019,Girls,89,72,51,43,2,5,262
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2019,Boys,39,20,25,17,5,0,106
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2019,Girls,38,32,19,13,7,0,109
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2019,Boys,74,68,76,84,78,71,451
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2019,Girls,82,68,71,84,55,57,417
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2020,Boys,40,35,35,24,0,0,134
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2020,Girls,56,40,18,14,0,0,128
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2020,Boys,177,176,168,91,0,0,612
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2020,Girls,168,162,161,69,0,0,560
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2020,Boys,108,82,80,75,17,10,372
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2020,Girls,112,112,72,60,10,2,368
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2020,Boys,52,44,24,24,9,8,161
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2020,Girls,62,39,30,13,6,7,157
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2020,Boys,81,63,75,84,55,54,412
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2020,Girls,64,58,69,74,68,71,404
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2022,Boys,49,37,35,26,0,0,147
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2022,Girls,55,40,28,18,0,0,141
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2022,Boys,,,,,,,
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2022,Girls,,,,,,,
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2022,Boys,194,187,178,88,,,647
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2022,Girls,207,184,186,72,,,649
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2022,Boys,111,99,67,71,13,7,368
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2022,Girls,79,123,82,66,9,7,366
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2022,Boys,74,45,44,18,13,4,198
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2022,Girls,76,53,41,27,7,11,215
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2022,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2022,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2022,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2022,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2022,Boys,134,94,99,59,81,47,514
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2022,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2022,Girls,187,116,112,89,70,53,627
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2022,Girls,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2022,Boys,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2022,Girls,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2022,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2022,Girls,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2022,Boys,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2022,Girls,,,,,,,
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2023,Boys,50,46,44,50,,,190
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2023,Girls,72,58,21,44,,,195
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2023,Boys,,,,,,,
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2023,Girls,,,,,,,
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2023,Boys,194,211,102,62,,,569
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2023,Girls,201,164,142,82,,,589
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2023,Boys,128,98,78,58,16,11,389
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2023,Girls,111,79,73,74,10,7,354
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2023,Boys,101,64,33,33,6,9,246
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2023,Girls,99,66,39,42,6,4,256
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2023,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2023,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2023,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2023,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2023,Boys,178,166,115,111,99,97,766
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2023,Boys,136,142,96,77,49,23,523
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2023,Girls,210,165,136,116,52,72,751
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2023,Girls,190,135,112,77,38,19,571
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2023,Boys,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2023,Girls,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2023,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2023,Girls,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2023,Boys,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2023,Girls,,,,,,,
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2024,Boys,59,60,52,41,0,0,212
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2024,Girls,48,57,35,37,0,0,177
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2024,Boys,60,43,40,69,1,3,216
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2024,Girls,41,55,33,48,1,2,180
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2024,Boys,197,135,124,98,0,0,554
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2024,Girls,235,186,118,70,0,0,609
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2024,Boys,149,98,95,113,20,21,496
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2024,Girls,139,141,88,82,15,12,477
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2024,Boys,90,96,67,34,6,11,304
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2024,Girls,91,104,72,32,12,8,319
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2024,Boys,90,76,66,57,26,16,331
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2024,Girls,106,101,79,80,6,8,380
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2024,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2024,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2024,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2024,Boys,98,111,114,103,39,53,518
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2024,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2024,Girls,252,243,165,105,37,43,845
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2024,Boys,164,223,167,90,31,39,714
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2024,Girls,196,210,179,110,11,19,725
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2024,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2024,Girls,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2024,Boys,186,236,159,182,48,87,898
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2024,Girls,247,269,225,187,61,58,1047
